486,sister,,n.,"姐妹, 姐,"
487,sit,,v.,"(使)就座, (使)坐"
488,sitting-room,,n,起居室
489,skateboard,,n.,溜冰板
490,sky,,n.,"天, 天空"
491,sleep,,v.,"睡, 睡觉"
492,small,,adj.,"小的, 少的"
493,smell,,v.,"嗅, 闻到"
494,smoke,,v./n.,"抽烟, 吸烟"
495,smooth,,adj.,"平滑的, 平坦的"
496,sock,,n,短袜
497,sofa,,n.,沙发
498,soft,,adj.,"软的, 柔软的"
499,soldier,,n.,"士兵, 军人"
500,some,,adj.,"一些, 少许, 若干"
501,sorry,,adj.,"遗憾的, 对不起的"
502,sour,,adj.,"酸的, 发酵"
503,south,,adj.,"南的, 南方的"
504,spaceship,,n.,太空船
505,spell,,v.,"拼写, 拼成"
506,spin,,v.,"旋转, 纺, 纺纱"
507,spoon,,n.,"匙, 调羹, 勺子"
508,spring,,n.,春天
509,square,,n.,"正方形, 广场"
510,stand,,v.,"站, 立, 站起,"
511,start,,v.,"出发, 起程, 开始"
512,station,,n.,"位置, 岗位, 地位"
513,step,,n.,"脚步, 梯级, 台阶"
514,stick,,v.,"棍, 棒, 手杖"
515,stone,,n.,"石, 石头, 宝石"
516,stop,,v.,停止
517,storm,,n.,"暴风雨, 暴风雪"
518,strawberry,,n.,草莓
519,street,,a,"街, 街道"
520,string,,n.,"线, 细绳"
521,strong,,adj.,"强, 强壮的, 坚固的"
522,student,,n.,学生
523,subject,,n.,"科目, 学科"
524,sugar,,a,"糖, 食糖"
525,summer,,a,夏季
526,sun,,n.,"太阳, 阳光, 恒星"
527,Sunday,,n.,星期日
528,sunglasses,,n.,太阳眼镜
529,sunny,,adj.,阳光充足的
530,super,,adj.,"十分的,  极好的"
531,supermarket   ,,n.,超级市场
532,swan,,n.,天鹅
533,sweet,,n/adj.,"糖果；甜的,"
534,swim,,v.,游泳
535,table,,a,"桌子, 餐桌, 工作台"
536,tail,,n.,"尾部, 尾巴"
537,take,,v.,"拿, 拿走, 取, 抓"
538,tall,,adj.,"高的, 长的"
